id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
133,1,48,NULL,"9bd54b15-6557-f354-7102-df9e6ef55950",190,13,"2009-04-14 00:00:00",0,5,"2009-12-22 16:40:19",1,"2010-04-15 01:26:28",NULL,NULL
134,1,48,NULL,"9bc935bb-9be8-5e44-8dfc-47116fdb953e",179,5,"2008-04-14 00:00:00",0,5,"2009-12-22 16:40:19",1,"2010-04-15 01:26:30",NULL,NULL
135,1,48,NULL,"ec16b8c1-a2e7-68c4-0d0d-113e887661a0",181,5,"2007-04-14 00:00:00",0,5,"2009-12-22 16:40:19",1,"2010-04-15 01:26:33",NULL,NULL
136,1,44,NULL,"207f6c6a-ed8d-a354-3930-61119f7b8c66",151,5,"2008-04-14 00:00:00",0,5,"2009-12-08 18:00:22",5,"2010-04-15 01:26:36",NULL,NULL
137,1,44,NULL,"5db3556c-4bba-9754-719c-ed707d313ca8",142,5,"2007-04-14 00:00:00",0,5,"2009-12-08 18:00:22",5,"2010-04-15 01:27:38",NULL,NULL
138,1,62,NULL,"c8ff8909-ff4a-3c84-ed26-6290a14c6f4b",109,1,"2010-04-14 00:00:00",0,1,"2010-01-07 12:46:32",13,"2011-04-20 13:38:25",NULL,NULL
139,1,12,NULL,"294c3e3e-04e4-38e4-99c1-27ee6e17d713",194,1,"2010-04-14 00:00:00",0,1,"2009-10-27 12:11:00",13,"2011-04-20 13:38:25",NULL,NULL
140,1,12,NULL,"f9ff197e-bf3b-0e44-e191-bc9c4fcdc21c",187,1,"2009-04-14 00:00:00",0,1,"2009-10-27 12:11:00",1,"2010-04-15 01:27:52",NULL,NULL
141,1,12,NULL,"1b45d369-69bc-3274-b964-9b9427269720",194,1,"2008-04-14 00:00:00",0,1,"2009-10-27 12:11:00",1,"2010-04-15 01:27:54",NULL,NULL
142,1,12,NULL,"0843bd1d-c540-1774-712d-3e936e1f6a48",185,1,"2007-04-14 00:00:00",0,1,"2009-10-27 12:11:00",1,"2010-04-15 01:27:56",NULL,NULL
143,1,68,NULL,"e28afa49-2bf4-8824-6d69-5ca7fdbb9fe1",180,1,"2010-04-14 00:00:00",0,6,"2010-03-14 14:53:51",13,"2011-04-20 13:38:25",NULL,NULL
144,1,78,NULL,"d6f0bcbe-b2b6-df24-d931-73871b20e19c",196,1,"2010-04-14 00:00:00",0,13,"2010-01-21 15:47:22",13,"2011-04-20 13:38:25",NULL,NULL
145,1,78,NULL,"c7c65047-b2f9-ce64-4574-b7293160674f",188,15,"2009-04-14 00:00:00",0,13,"2010-01-21 15:47:22",1,"2010-04-15 01:28:18",NULL,NULL
146,1,78,NULL,"d969fc02-75fb-1e84-1d33-f9ff4fdef0bf",195,15,"2008-04-14 00:00:00",0,13,"2010-01-21 15:47:22",1,"2010-04-15 01:28:21",NULL,NULL
147,1,47,NULL,"be5ec691-cc09-6ae4-1518-4b3f80532336",164,1,"2010-04-14 00:00:00",0,13,"2009-12-21 11:34:51",13,"2011-04-20 13:38:25",NULL,NULL
148,1,47,NULL,"cfa9ca7f-d924-4844-4df1-af8d8dc03e86",144,13,"2009-04-14 00:00:00",0,13,"2009-12-21 11:34:51",1,"2010-04-15 01:28:41",NULL,NULL
149,1,47,NULL,"9e56eeeb-c167-eef4-bd89-c7872d35534b",137,13,"2008-04-14 00:00:00",0,13,"2009-12-21 11:34:51",1,"2010-04-15 01:28:44",NULL,NULL
150,1,47,NULL,"1100eab6-4946-2e34-fd17-7c2c623e3819",140,13,"2007-04-14 00:00:00",0,13,"2009-12-21 11:34:51",1,"2010-04-15 01:28:46",NULL,NULL
151,1,14,NULL,"ffd6931d-9fc8-f844-6d0a-5deddd456085",200,1,"2010-04-14 00:00:00",0,1,"2009-10-27 16:25:20",13,"2011-04-20 13:38:25",NULL,NULL
152,1,14,NULL,"72fafbd9-79d9-0d14-d5bd-2b10171d0188",197,13,"2009-04-14 00:00:00",0,1,"2009-10-27 16:25:20",1,"2010-04-15 01:28:53",NULL,NULL
153,1,14,NULL,"fac3becf-673a-fa64-cd45-c6db50ca36b2",192,1,"2008-04-14 00:00:00",0,1,"2009-10-27 16:25:20",1,"2010-04-15 01:28:55",NULL,NULL
154,1,14,NULL,"d0e0b417-672a-48b4-5db4-dafe081a9d92",182,1,"2007-04-14 00:00:00",0,1,"2009-10-27 16:25:20",1,"2010-04-15 01:28:57",NULL,NULL
155,1,21,NULL,"1b1ab1af-4d61-bdb4-e5b4-68cbc9811fde",178,1,"2010-04-14 00:00:00",0,1,"2009-11-02 12:03:59",13,"2011-04-20 13:38:25",NULL,NULL
156,1,21,NULL,"5a157284-dad0-a324-9584-ce64e1ffedc6",168,1,"2009-04-14 00:00:00",0,1,"2009-11-02 12:03:59",1,"2010-04-15 01:29:10",NULL,NULL
157,1,21,NULL,"a38f8915-2463-1684-e5f4-40ca03c2cece",172,1,"2008-04-14 00:00:00",0,1,"2009-11-02 12:03:59",1,"2010-04-15 01:29:12",NULL,NULL
158,1,21,NULL,"2547aa2f-35ec-6254-dda8-eda9ea6301c8",147,1,"2007-04-14 00:00:00",0,1,"2009-11-02 12:03:59",1,"2010-04-15 01:29:14",NULL,NULL
159,1,69,NULL,"7c32bf0d-45cc-4694-6538-7c8360403064",171,1,"2010-04-14 00:00:00",0,6,"2010-03-16 15:16:49",13,"2011-04-20 13:38:25",NULL,NULL
160,1,36,NULL,"3ee5dec9-84d6-8f74-11d2-9bdda6cbacfe",156,1,"2010-04-14 00:00:00",0,5,"2009-12-08 09:33:22",13,"2011-04-20 13:38:25",NULL,NULL
161,1,36,NULL,"2fed8c6b-cbee-9a24-b19b-cd1c97bf96b7",118,5,"2009-04-14 00:00:00",0,5,"2009-12-08 09:33:22",1,"2010-04-15 01:29:26",NULL,NULL
162,1,36,NULL,"dd06f1ce-da7f-2e24-b569-6cdef887cfa1",100,5,"2008-04-14 00:00:00",0,5,"2009-12-08 09:33:22",1,"2010-04-15 01:29:29",NULL,NULL
163,1,36,NULL,"61a728cc-2f7f-97e4-2d35-352526cd1c94",85,5,"2007-04-14 00:00:00",0,5,"2009-12-08 09:33:22",1,"2010-04-15 01:29:31",NULL,NULL
164,1,70,NULL,"400d9b9e-1a7b-5bf4-c5cb-6d8c81a69d38",163,1,"2010-04-14 00:00:00",0,6,"2010-03-13 09:05:21",13,"2011-04-20 13:38:25",NULL,NULL
165,1,18,NULL,"80045d2f-8e69-99b4-85b8-a1d3aa9ae49c",199,13,"2010-04-14 00:00:00",0,1,"2009-10-28 15:36:44",13,"2011-04-20 13:38:25",NULL,NULL
166,1,18,NULL,"c8249328-2f01-6ea4-993b-4435fb17db65",190,15,"2009-04-14 00:00:00",0,1,"2009-10-28 15:36:44",13,"2010-04-15 01:29:44",NULL,NULL
167,1,18,NULL,"6e8b4c87-f608-9db4-e10a-942b3b20fc79",182,1,"2008-04-14 00:00:00",0,1,"2009-10-28 15:36:44",13,"2010-04-15 01:29:46",NULL,NULL
168,1,18,NULL,"78fb084b-c43c-fd34-f5c0-8f94ea4354e8",191,1,"2007-04-14 00:00:00",0,1,"2009-10-28 15:36:44",13,"2010-04-15 01:29:48",NULL,NULL
169,1,49,NULL,"29d14462-1355-36a4-253b-10d84e01e9be",192,1,"2010-04-14 00:00:00",0,5,"2009-12-22 16:57:53",13,"2011-04-20 13:38:25",NULL,NULL
170,1,49,NULL,"96182d30-ec37-d2a4-0d1a-01e914a73edc",193,15,"2009-04-14 00:00:00",0,5,"2009-12-22 16:57:53",1,"2010-04-15 01:30:02",NULL,NULL
171,1,49,NULL,"f13a04da-4eb8-9264-0d35-64c7d35efa19",192,5,"2008-04-14 00:00:00",0,5,"2009-12-22 16:57:53",1,"2010-04-15 01:30:05",NULL,NULL
172,1,49,NULL,"302251a2-5f2c-e134-c19b-08557f56832d",174,13,"2007-04-14 00:00:00",0,5,"2009-12-22 16:57:53",1,"2010-04-15 01:30:07",NULL,NULL
173,1,46,NULL,"9b8abab8-9519-7d54-5546-985679ad92ba",188,1,"2010-04-14 00:00:00",0,5,"2009-12-09 12:28:54",13,"2011-04-20 13:38:25",NULL,NULL
174,1,46,NULL,"0fb322a8-c8d7-9d54-7d7c-b1cf336ff6ef",192,5,"2009-04-14 00:00:00",0,5,"2009-12-09 12:28:54",1,"2010-04-15 01:30:17",NULL,NULL
175,1,46,NULL,"2f8f2a1c-aae1-4b34-0de9-4468d2b71959",193,5,"2008-04-14 00:00:00",0,5,"2009-12-09 12:28:54",1,"2010-04-15 01:30:19",NULL,NULL
176,1,82,NULL,"f225cb9e-4da0-9c84-81ff-26108ef7eff2",185,1,"2010-04-14 00:00:00",0,13,"2010-01-22 12:56:08",13,"2011-04-20 13:38:25",NULL,NULL
177,1,82,NULL,"29b73d69-8e18-a324-0d3c-071934b4312b",187,13,"2009-04-14 00:00:00",0,13,"2010-01-22 12:56:08",1,"2010-04-15 01:30:40",NULL,NULL
178,1,82,NULL,"d77177d6-b1ef-20d4-d5af-38b07f12b973",172,13,"2008-04-14 00:00:00",0,13,"2010-01-22 12:56:08",1,"2010-04-15 01:30:42",NULL,NULL
179,1,64,NULL,"6257a22a-c6aa-f6d4-ed19-baf9bfc35245",143,1,"2010-04-14 00:00:00",0,6,"2010-02-22 13:24:06",13,"2011-04-20 13:38:25",NULL,NULL
