id,report_type_id,metric_id,order_id,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
123,18,6,0,13,"2011-05-09 15:56:16",13,"2011-05-09 15:56:16",NULL,NULL
124,18,7,0,13,"2011-05-09 16:06:52",13,"2011-05-09 16:06:52",NULL,NULL
125,18,8,0,13,"2011-05-09 16:23:52",13,"2011-05-09 16:23:52",NULL,NULL
126,19,1,0,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
127,19,2,1,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
128,19,3,2,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
129,19,4,3,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
130,19,5,4,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
131,19,6,5,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
132,19,7,6,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
133,19,8,7,13,"2011-12-01 15:11:27",13,"2011-12-01 15:11:27",NULL,NULL
134,20,1,0,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
135,20,2,1,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
136,20,3,2,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
137,20,4,3,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
138,20,5,4,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
139,20,6,5,5,"2012-03-21 10:54:43",5,"2012-03-21 10:54:43",NULL,NULL
140,20,7,6,5,"2012-03-21 10:54:44",5,"2012-03-21 10:54:44",NULL,NULL
141,20,8,7,5,"2012-03-21 10:54:44",5,"2012-03-21 10:54:44",NULL,NULL
142,21,1,0,13,"2012-11-12 22:10:33",13,"2012-11-12 22:10:33",NULL,NULL
143,21,2,1,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
144,21,3,2,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
145,21,4,3,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
146,21,5,4,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
147,21,6,5,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
148,21,7,6,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
149,21,8,7,13,"2012-11-12 22:10:34",13,"2012-11-12 22:10:34",NULL,NULL
150,22,1,0,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
151,22,2,1,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
152,22,3,2,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
153,22,4,3,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
154,22,5,4,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
155,22,6,5,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
156,22,7,6,234,"2012-11-28 12:53:33",234,"2012-11-28 12:53:33",NULL,NULL
157,22,8,7,234,"2012-11-28 12:53:34",234,"2012-11-28 12:53:34",NULL,NULL
158,23,1,0,13,"2013-01-28 13:41:06",13,"2013-01-28 13:41:06",NULL,NULL
