ReportTagId,TagName,Deleted,DateCreated,WhoCreated,DateUpdated,WhoUpdated,DateDeleted,WhoDeleted,MigrationId
380,sms alerts,0,2013-10-17 13:28:53.810,8465,NULL,NULL,NULL,NULL,445
381,csr external assurance,0,2013-10-17 13:28:54.013,8465,NULL,NULL,NULL,NULL,446
382,gru chart,0,2013-10-17 13:28:54.413,8465,NULL,NULL,NULL,NULL,447
383,shareholder gaqs strong,0,2013-10-17 13:28:54.877,8465,NULL,NULL,NULL,NULL,448
384,youtube careers video,0,2013-10-17 13:28:55.277,8465,NULL,NULL,NULL,NULL,449
385,shareholders FAQs strong,0,2013-10-17 13:28:55.543,8465,NULL,NULL,NULL,NULL,450
386,Search: Predictive results,0,2013-10-17 13:28:55.887,8465,NULL,NULL,NULL,NULL,451
387,non-web features,0,2013-10-17 13:28:58.377,8465,NULL,NULL,NULL,NULL,452
388,mobile site,0,2013-10-17 13:28:58.783,8465,NULL,NULL,NULL,NULL,454
389,billboard emphasis,0,2013-10-17 13:28:59.857,8465,NULL,NULL,NULL,NULL,455
390,vacancy portal approach,0,2013-10-17 13:29:00.327,8465,NULL,NULL,NULL,NULL,456
391,video channel,0,2013-10-17 13:29:01.010,8465,NULL,NULL,NULL,NULL,457
392,csr map,0,2013-10-17 13:29:01.143,8465,NULL,NULL,NULL,NULL,458
393,home page billboard emphasis,0,2013-10-17 13:29:01.780,8465,NULL,NULL,NULL,NULL,459
394,history blog,0,2013-10-17 13:29:02.047,8465,NULL,NULL,NULL,NULL,460
395,history good,0,2013-10-17 13:29:02.527,8465,NULL,NULL,NULL,NULL,461
396,Twitter posts used to drive traffic to corporate site,0,2013-10-17 13:29:02.973,8465,NULL,NULL,NULL,NULL,462
397,home page: over-animated,0,2013-10-17 13:29:03.323,8465,NULL,NULL,NULL,NULL,463
398,m & a,0,2013-10-17 13:29:04.087,8465,NULL,NULL,NULL,NULL,464
399,home page responsibility message,0,2013-10-17 13:29:05.853,8465,NULL,NULL,NULL,NULL,465
400,GRI charts,0,2013-10-17 13:29:06.127,8465,NULL,NULL,NULL,NULL,466
401,investor sharehold section,0,2013-10-17 13:29:06.397,8465,NULL,NULL,NULL,NULL,467
402,investor rss feed,0,2013-10-17 13:29:06.603,8465,NULL,NULL,NULL,NULL,468
403,governance well-written,0,2013-10-17 13:29:06.883,8465,NULL,NULL,NULL,NULL,469
404,investor rss,0,2013-10-17 13:29:07.687,8465,NULL,NULL,NULL,NULL,470
405,home page: panel,0,2013-10-17 13:29:07.893,8465,NULL,NULL,NULL,NULL,471
406,social media integration,0,2013-10-17 13:29:08.093,8465,NULL,NULL,NULL,NULL,472
407,investor events reminder,0,2013-10-17 13:29:08.450,8465,NULL,NULL,NULL,NULL,473
408,organisation shart,0,2013-10-17 13:29:08.790,8465,NULL,NULL,NULL,NULL,474
409,windows inconsistent,0,2013-10-17 13:29:09.133,8465,NULL,NULL,NULL,NULL,475
410,xanalyst background,0,2013-10-17 13:29:10.127,8465,NULL,NULL,NULL,NULL,476
411,internationa media contacts,0,2013-10-17 13:29:10.263,8465,NULL,NULL,NULL,NULL,477
412,Twitter feed,0,2013-10-17 13:29:10.403,8465,NULL,NULL,NULL,NULL,478
413,Twitter careers feed,0,2013-10-17 13:29:10.677,8465,NULL,NULL,NULL,NULL,479
414,investor app,0,2013-10-17 13:29:10.957,8465,NULL,NULL,NULL,NULL,480
415,No left nav,0,2013-10-17 13:29:14.450,8465,NULL,NULL,NULL,NULL,481
416,career app,0,2013-10-17 13:29:15.793,8465,NULL,NULL,NULL,NULL,482
417,graduate development. jobseekers video profiles,0,2013-10-17 13:29:16.340,8465,NULL,NULL,NULL,NULL,483
418,app,0,2013-10-17 13:29:16.850,8465,NULL,NULL,NULL,NULL,484
419,media app,0,2013-10-17 13:29:17.453,8465,NULL,NULL,NULL,NULL,485
420,home page panels,0,2013-10-17 13:29:18.940,8465,NULL,NULL,NULL,NULL,486
421,resizeable text;,0,2013-10-17 13:29:19.157,8465,NULL,NULL,NULL,NULL,487
422,corporate content other language,0,2013-10-17 13:29:19.287,8465,NULL,NULL,NULL,NULL,488
423,investor faqs,0,2013-10-17 13:29:19.553,8465,NULL,NULL,NULL,NULL,489
424,contact FAQ's or web links,0,2013-10-17 13:29:19.893,8465,NULL,NULL,NULL,NULL,490
425,color coding,0,2013-10-17 13:29:20.183,8465,NULL,NULL,NULL,NULL,491
426,mega dropdown menu,0,2013-10-17 13:29:20.460,8465,NULL,NULL,NULL,NULL,492
427,casr charts strong,0,2013-10-17 13:29:21.003,8465,NULL,NULL,NULL,NULL,493
428,accessibility-good,0,2013-10-17 13:29:21.357,8465,NULL,NULL,NULL,NULL,494
429,Annual report hybridg,0,2013-10-17 13:29:21.627,8465,NULL,NULL,NULL,NULL,495
430,you tube careers videos,0,2013-10-17 13:29:21.760,8465,NULL,NULL,NULL,NULL,496
431,Facebook responsibility,0,2013-10-17 13:29:22.170,8465,NULL,NULL,NULL,NULL,497
432,social media dashboard,0,2013-10-17 13:29:23.243,8465,NULL,NULL,NULL,NULL,498
433,separate mobile site,0,2013-10-17 13:29:23.600,8465,NULL,NULL,NULL,NULL,499
434,Responsive/adaptive design,0,2013-10-17 13:29:24.787,8465,NULL,NULL,NULL,NULL,500
435,social media channel,0,2013-10-17 13:29:25.810,8465,NULL,NULL,NULL,NULL,501
